ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
11.0,1406.2,0.0,20.392,33.333,24.0,4.6875,0.0,32.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,-2.0,64.1,27.6,14.335,0.0,0.0,6747.0,0.0,255.0
13.0,1462.5,0.0,20.392,33.333,24.0,4.6875,0.0,33.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,-5.0,64.1,27.6,14.335,0.0,0.0,6747.0,0.0,255.0
13.0,1462.5,0.0,20.392,33.333,24.0,4.6875,0.0,33.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,-5.0,70.0,27.7,14.335,0.0,0.0,6747.0,0.0,255.0
13.0,1462.5,0.0,20.392,33.333,24.0,4.6875,0.0,33.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,-5.0,70.0,27.7,14.335,0.0,0.0,6747.0,0.0,255.0
13.0,1462.5,0.0,20.392,31.765,24.0,4.6875,0.0,31.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,-5.0,70.0,27.7,14.335,0.0,0.0,6747.0,0.0,255.0
15.0,1440.5,0.0,20.392,31.765,24.0,4.6875,0.0,31.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,7.0,70.0,27.7,14.335,0.0,0.0,6747.0,0.0,255.0
15.0,1440.5,0.0,20.392,31.765,25.0,4.6875,0.0,31.0,26.275,52.941,16.078,31.765,20.392,0.0,100.0,1.1765,28.0,7.0,82.1,28.0,14.316,0.0,0.0,6747.0,0.0,255.0
15.0,1440.5,0.0,20.392,31.765,25.0,4.6875,0.0,31.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,1.1765,28.0,7.0,82.1,28.0,14.316,0.0,0.0,6747.0,0.0,255.0
15.0,1496.8,0.0,20.0,29.804,25.0,5.4688,0.0,29.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,1.1765,28.0,1.0,82.1,28.0,14.316,0.0,0.0,6747.0,0.0,255.0
16.0,1496.8,0.0,20.0,29.804,25.0,5.4688,0.0,29.0,26.275,52.549,16.078,31.765,20.0,0.0,100.0,1.1765,28.0,1.0,82.1,28.0,14.316,0.0,0.0,6747.0,0.0,255.0
16.0,1496.8,0.0,20.0,29.804,25.0,5.4688,0.0,29.0,26.275,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,1.0,94.5,28.2,14.335,0.0,0.0,6747.0,0.0,255.0
16.0,1496.8,0.0,20.0,29.804,25.0,5.4688,0.0,29.0,26.275,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,1.0,94.5,28.2,14.335,0.0,0.0,6747.0,0.0,255.0
18.0,1443.8,0.0,19.608,29.02,25.0,5.4688,0.0,28.0,26.275,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,5.0,94.5,28.2,14.335,0.0,0.0,6747.0,0.0,255.0
18.0,1443.8,0.0,19.608,29.02,26.0,5.4688,0.0,28.0,26.275,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,5.0,94.5,28.2,14.335,0.0,0.0,6747.0,0.0,255.0
18.0,1443.8,0.0,19.608,29.02,26.0,5.4688,0.0,28.0,26.275,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,5.0,106.6,28.5,14.316,0.0,0.0,6747.0,0.0,255.0
18.0,1443.8,0.0,19.608,29.412,26.0,5.4688,0.0,28.0,26.275,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,5.0,106.6,28.5,14.316,0.0,0.0,6747.0,0.0,255.0
20.0,1325.0,0.0,19.608,29.412,26.0,5.4688,0.0,29.0,26.275,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,9.0,106.6,28.5,14.316,0.0,0.0,6747.0,0.0,255.0
20.0,1325.0,0.0,19.608,29.412,27.0,5.4688,0.0,29.0,25.882,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,9.0,112.4,28.9,14.296,0.0,0.0,6747.0,0.0,255.0
20.0,1325.0,0.0,19.608,29.412,27.0,5.4688,0.0,29.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,9.0,112.4,28.9,14.296,0.0,0.0,6747.0,0.0,255.0
20.0,1211.5,0.0,19.608,34.118,27.0,3.9062,0.0,34.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,4.0,112.4,28.9,14.296,0.0,0.0,6747.0,0.0,255.0
22.0,1211.5,0.0,19.608,34.118,27.0,3.9062,0.0,34.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,4.0,112.4,28.9,14.296,0.0,0.0,6747.0,0.0,255.0
22.0,1211.5,0.0,19.608,34.118,27.0,3.9062,0.0,34.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,4.0,123.8,29.2,14.316,0.0,0.0,6747.0,0.0,255.0
22.0,1211.5,0.0,19.608,34.118,27.0,3.9062,0.0,34.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,4.0,123.8,29.2,14.316,0.0,0.0,6747.0,0.0,255.0
22.0,1277.2,0.0,19.608,31.765,27.0,4.6875,0.0,32.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,-3.0,123.8,29.2,14.316,0.0,0.0,6747.0,0.0,255.0
24.0,1277.2,0.0,19.608,31.765,28.0,4.6875,0.0,32.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,-3.0,123.8,29.2,14.316,0.0,0.0,6747.0,0.0,255.0
24.0,1277.2,0.0,19.608,31.765,28.0,4.6875,0.0,32.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,-3.0,135.0,29.7,14.218,0.0,0.0,6747.0,0.0,255.0
24.0,1277.2,0.0,19.608,31.765,28.0,4.6875,0.0,32.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,-3.0,135.0,29.7,14.218,0.0,0.0,6747.0,0.0,255.0
24.0,1026.5,0.0,19.608,39.608,28.0,3.125,0.0,38.0,25.882,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,6.0,135.0,29.7,14.218,0.0,0.0,6747.0,0.0,255.0
26.0,1026.5,0.0,19.608,39.608,29.0,3.125,0.0,38.0,25.098,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,6.0,135.0,29.7,14.218,0.0,0.0,6747.0,0.0,255.0
26.0,1026.5,0.0,19.608,39.608,29.0,3.125,0.0,38.0,25.098,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,6.0,145.6,30.2,14.257,0.0,0.0,6747.0,0.0,255.0
26.0,1026.5,0.0,19.608,40.392,29.0,2.3438,0.0,38.0,25.098,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,6.0,145.6,30.2,14.257,0.0,0.0,6747.0,0.0,255.0
27.0,908.5,4.0,19.608,40.392,29.0,2.3438,0.0,41.0,25.098,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,6.0,145.6,30.2,14.257,0.0,0.0,6747.0,0.0,255.0
27.0,908.5,4.0,19.608,40.392,30.0,2.3438,0.0,41.0,24.314,52.157,16.078,31.765,19.608,0.0,100.0,0.78431,28.0,6.0,155.8,30.8,14.257,0.0,0.0,6747.0,0.0,255.0
27.0,908.5,4.0,19.608,40.392,30.0,2.3438,0.0,41.0,24.314,52.941,20.784,36.471,20.784,0.0,100.0,1.5686,28.0,6.0,155.8,30.8,14.277,0.0,0.0,6747.0,0.0,255.0
27.0,1432.0,9.0,19.608,37.647,30.0,3.125,0.0,37.0,24.314,52.941,20.784,36.471,20.784,0.0,100.0,1.5686,28.0,26.0,155.8,30.8,14.277,0.0,0.0,6747.0,0.0,255.0
29.0,1432.0,9.0,20.392,37.647,30.0,3.125,0.0,37.0,24.314,52.941,20.784,36.471,20.784,0.0,100.0,1.5686,28.0,26.0,155.8,30.8,14.277,0.0,0.0,6747.0,0.0,255.0
29.0,1432.0,9.0,20.392,37.647,30.0,3.125,0.0,37.0,25.882,50.588,16.078,31.765,20.784,0.0,100.0,0.0,28.0,26.0,161.2,31.2,14.296,0.0,0.0,6747.0,0.0,255.0
29.0,1432.0,9.0,20.392,37.647,30.0,3.125,0.0,37.0,25.882,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,26.0,161.2,31.2,14.296,0.0,0.0,6747.0,0.0,255.0
29.0,1046.8,11.0,20.0,23.922,30.0,5.4688,0.0,32.0,25.882,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,19.0,161.2,31.2,14.296,0.0,0.0,6747.0,0.0,255.0
31.0,1046.8,11.0,20.0,23.922,31.0,5.4688,0.0,32.0,22.745,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,19.0,161.2,31.2,14.296,0.0,0.0,6747.0,0.0,255.0
31.0,1046.8,11.0,20.0,23.922,31.0,5.4688,0.0,32.0,22.745,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,19.0,170.8,31.9,14.277,0.0,0.0,6747.0,0.0,255.0
31.0,1046.8,11.0,20.0,32.549,31.0,5.4688,0.0,32.0,22.745,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,19.0,170.8,31.9,14.277,0.0,0.0,6747.0,0.0,255.0
33.0,972.5,13.0,18.431,32.549,31.0,4.6875,0.0,32.0,22.745,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,3.0,170.8,31.9,14.277,0.0,0.0,6747.0,0.0,255.0
33.0,972.5,13.0,18.431,32.549,32.0,4.6875,0.0,32.0,23.922,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,3.0,170.8,31.9,14.277,0.0,0.0,6747.0,0.0,255.0
33.0,972.5,13.0,18.431,32.549,32.0,4.6875,0.0,32.0,23.922,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,3.0,194.1,34.2,14.296,0.0,0.0,6747.0,0.0,255.0
33.0,972.5,13.0,18.431,31.373,32.0,4.6875,0.0,32.0,23.922,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,3.0,194.1,34.2,14.296,0.0,0.0,6747.0,0.0,255.0
38.0,979.5,14.0,18.431,31.373,32.0,4.6875,-3.9062,32.0,23.922,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-2.0,194.1,34.2,14.296,0.0,0.0,6747.0,0.0,255.0
38.0,979.5,14.0,18.431,31.373,32.0,4.6875,-3.9062,32.0,17.255,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-2.0,197.3,34.2,14.296,0.0,0.0,6747.0,0.0,255.0
38.0,979.5,14.0,18.431,31.373,32.0,4.6875,-3.9062,32.0,17.255,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-2.0,197.3,34.6,14.277,0.0,0.0,6747.0,0.0,255.0
38.0,950.0,14.0,18.431,31.765,32.0,4.6875,-7.0312,33.0,17.255,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-2.0,197.3,34.6,14.277,0.0,0.0,6747.0,0.0,255.0
40.0,950.0,14.0,18.431,31.765,33.0,4.6875,-7.0312,33.0,17.255,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,4.0,197.3,34.6,14.277,0.0,0.0,6747.0,0.0,255.0
40.0,950.0,14.0,18.431,31.765,33.0,4.6875,-7.0312,33.0,20.392,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,4.0,203.4,35.4,14.277,0.0,0.0,6747.0,0.0,255.0
40.0,950.0,14.0,18.431,31.765,33.0,4.6875,-7.0312,33.0,20.392,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,4.0,203.4,35.4,14.277,0.0,0.0,6747.0,0.0,255.0
40.0,977.25,11.0,18.431,31.373,33.0,4.6875,-10.938,32.0,20.392,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-3.0,203.4,35.4,14.277,0.0,0.0,6747.0,0.0,255.0
42.0,977.25,11.0,18.431,31.373,34.0,4.6875,-10.938,32.0,27.843,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-3.0,203.4,35.4,14.277,0.0,0.0,6747.0,0.0,255.0
42.0,977.25,11.0,18.431,31.373,34.0,4.6875,-10.938,32.0,27.843,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-3.0,209.1,36.2,14.277,0.0,0.0,6747.0,0.0,255.0
42.0,977.25,11.0,18.431,31.373,34.0,4.6875,-10.938,32.0,27.843,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,-3.0,209.1,36.2,14.277,0.0,0.0,6747.0,0.0,255.0
42.0,964.75,12.0,18.431,30.98,34.0,4.6875,-14.844,32.0,27.843,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,1.0,209.1,36.2,14.277,0.0,0.0,6747.0,0.0,255.0
44.0,964.75,12.0,18.431,30.98,34.0,4.6875,-14.844,32.0,28.627,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,1.0,209.1,36.2,14.277,0.0,0.0,6747.0,0.0,255.0
44.0,964.75,12.0,18.431,30.98,34.0,4.6875,-14.844,32.0,28.627,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,1.0,214.4,37.0,14.277,0.0,0.0,6747.0,0.0,255.0
44.0,964.75,12.0,18.431,30.98,34.0,4.6875,-14.844,32.0,28.627,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,1.0,214.4,37.0,14.277,0.0,0.0,6747.0,0.0,255.0
44.0,970.25,14.0,18.431,30.98,35.0,4.6875,-9.375,30.0,28.627,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,0.0,214.4,37.0,14.277,0.0,0.0,6747.0,0.0,255.0
46.0,970.25,14.0,18.431,30.98,35.0,4.6875,-9.375,30.0,35.294,50.588,16.078,31.765,18.431,0.0,100.0,0.0,28.0,0.0,214.4,37.0,14.277,0.0,0.0,6747.0,0.0,255.0
46.0,970.25,14.0,18.431,30.98,35.0,4.6875,-9.375,30.0,35.294,52.157,16.078,31.765,19.608,0.0,100.0,0.0,28.0,0.0,216.9,37.8,14.218,0.0,0.0,6747.0,0.0,255.0
46.0,970.25,14.0,18.431,40.0,35.0,3.125,-5.4688,30.0,35.294,52.157,16.078,31.765,19.608,0.0,100.0,0.0,28.0,0.0,216.9,37.8,14.218,0.0,0.0,6747.0,0.0,255.0
48.0,951.5,9.0,19.608,40.0,35.0,3.125,-5.4688,39.0,35.294,52.157,16.078,31.765,19.608,0.0,100.0,0.0,28.0,2.0,216.9,37.8,14.218,0.0,0.0,6747.0,0.0,255.0
48.0,951.5,9.0,19.608,40.0,35.0,3.125,-5.4688,39.0,29.412,52.157,16.078,31.765,19.608,0.0,100.0,0.0,28.0,2.0,222.1,38.2,14.14,0.0,0.0,6747.0,0.0,255.0
48.0,951.5,9.0,19.608,40.0,35.0,3.125,-5.4688,39.0,29.412,52.157,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,2.0,222.1,38.2,14.14,0.0,0.0,6747.0,0.0,255.0
48.0,782.75,8.0,19.608,52.941,35.0,0.78125,-7.8125,51.0,29.412,52.157,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,6.0,222.1,38.2,14.14,0.0,0.0,6747.0,0.0,255.0
50.0,782.75,8.0,19.608,52.941,35.0,0.78125,-7.8125,51.0,21.961,52.157,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,6.0,222.1,38.2,14.14,0.0,0.0,6747.0,0.0,255.0
50.0,782.75,8.0,19.608,52.941,35.0,0.78125,-7.8125,51.0,21.961,53.725,19.216,35.294,20.392,0.0,100.0,1.9608,28.0,6.0,228.0,39.2,14.14,0.0,0.0,6747.0,0.0,255.0
50.0,782.75,8.0,19.608,52.941,35.0,0.78125,-7.8125,51.0,21.961,53.725,19.216,35.294,20.392,0.0,100.0,1.9608,28.0,6.0,228.0,39.2,14.14,0.0,0.0,6747.0,0.0,255.0
50.0,926.5,12.0,19.608,43.529,36.0,2.3438,-7.0312,43.0,21.961,53.725,19.216,35.294,20.392,0.0,100.0,1.9608,28.0,11.0,228.0,39.2,14.14,0.0,0.0,6747.0,0.0,255.0
51.0,926.5,12.0,19.608,43.529,36.0,2.3438,-7.0312,43.0,22.745,53.725,19.216,35.294,20.392,0.0,100.0,1.9608,28.0,11.0,228.0,39.2,14.14,0.0,0.0,6747.0,0.0,255.0
51.0,926.5,12.0,19.608,43.529,36.0,2.3438,-7.0312,43.0,22.745,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,11.0,234.7,40.3,14.179,0.0,0.0,6747.0,0.0,255.0
51.0,926.5,12.0,19.608,41.176,36.0,2.3438,-8.5938,43.0,22.745,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,11.0,234.7,40.3,14.179,0.0,0.0,6747.0,0.0,255.0
51.0,921.0,13.0,19.608,41.176,37.0,2.3438,-8.5938,41.0,22.745,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,3.0,234.7,40.3,14.179,0.0,0.0,6747.0,0.0,255.0
53.0,921.0,13.0,19.608,41.176,37.0,2.3438,-8.5938,41.0,21.176,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,3.0,234.7,40.3,14.179,0.0,0.0,6747.0,0.0,255.0
53.0,921.0,13.0,19.608,41.176,37.0,2.3438,-8.5938,41.0,21.176,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,3.0,241.4,41.5,14.16,0.0,0.0,6747.0,0.0,255.0
53.0,921.0,13.0,19.608,47.451,37.0,2.3438,-3.9062,41.0,21.176,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,3.0,241.4,41.5,14.16,0.0,0.0,6747.0,0.0,255.0
55.0,732.75,12.0,19.608,47.451,37.0,1.5625,-3.9062,49.0,21.176,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,9.0,241.4,41.5,14.16,0.0,0.0,6747.0,0.0,255.0
55.0,732.75,12.0,19.608,47.451,37.0,1.5625,-3.9062,49.0,27.059,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,9.0,244.8,42.1,14.16,0.0,0.0,6747.0,0.0,255.0
55.0,732.75,12.0,19.608,47.451,37.0,1.5625,-3.9062,49.0,27.059,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,9.0,244.8,42.1,14.14,0.0,0.0,6747.0,0.0,255.0
55.0,785.75,11.0,19.608,47.451,38.0,1.5625,-3.9062,49.0,27.059,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,-2.0,244.8,42.1,14.14,0.0,0.0,6747.0,0.0,255.0
57.0,785.75,11.0,19.608,47.451,38.0,1.5625,-3.9062,49.0,27.059,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,-2.0,244.8,42.1,14.14,0.0,0.0,6747.0,0.0,255.0
57.0,785.75,11.0,19.608,47.451,38.0,1.5625,-3.9062,49.0,28.627,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,-2.0,251.5,43.5,14.14,0.0,0.0,6747.0,0.0,255.0
57.0,785.75,11.0,19.608,47.451,38.0,1.5625,-3.9062,49.0,28.627,51.765,16.471,32.157,19.608,0.0,100.0,0.39216,28.0,-2.0,251.5,43.5,14.14,0.0,0.0,6747.0,0.0,255.0
57.0,846.75,11.0,19.608,44.706,39.0,2.3438,-7.8125,45.0,28.627,51.765,16.471,32.157,19.608,0.0,100.0,0.39216,28.0,0.0,251.5,43.5,14.14,0.0,0.0,6747.0,0.0,255.0
59.0,846.75,11.0,19.608,44.706,39.0,2.3438,-7.8125,45.0,24.314,51.765,16.471,32.157,19.608,0.0,100.0,0.39216,28.0,0.0,251.5,43.5,14.14,0.0,0.0,6747.0,0.0,255.0
59.0,846.75,11.0,19.608,44.706,39.0,2.3438,-7.8125,45.0,24.314,51.765,16.078,31.765,19.608,0.0,100.0,0.39216,28.0,0.0,258.2,45.0,14.121,0.0,0.0,6748.0,0.0,255.0
